ko_symbol,event,database,term,overlap,adjusted_p_value,odds_ratio,combined_score,genes,gene_number
Cd2bp2,SE,GO_Cellular_Component_2023,Nucleolus (GO:0005730),24/771,0.0021721598004992527,2.419455600178492,20.78132067426854,PLK4;TSG101;ATP8B2;NAA10;MTX2;IDH3G;KRR1;GEMIN2;FMR1;RBPJ;TERF1;APTX;TENT4B;FANCG;PPP1CC;STAG2;ZZZ3;LSM6;FANCD2;MDM2;KAT7;UTP20;RBM7;ERGIC2,276
Cd2bp2,SE,GO_Cellular_Component_2023,SCF Ubiquitin Ligase Complex (GO:0019005),6/61,0.0021721598004992527,7.947070707070707,68.00178097798505,FBXW5;FBXW11;FBXO17;BTRC;FBXL5;FBXL12,276
Cd2bp2,SE,GO_Biological_Process_2023,Histone H2A-K119 Monoubiquitination (GO:0036353),3/6,0.00224420113763567,72.23809523809524,714.8091655160895,PCGF5;PCGF2;PCGF1,276
Cd2bp2,SE,GO_Biological_Process_2023,Proteasomal Protein Catabolic Process (GO:0010498),12/220,0.002537289999788692,4.26486013986014,41.57009562462104,BAG6;RMND5B;FBXW5;MTA1;FBXW11;MDM2;ERCC8;ARMC8;RBCK1;AMBRA1;BTRC;BIRC2,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),18/452,0.0026096732920269108,3.100953809881042,30.061567431683063,ATF2;NCOA2;BRPF3;NFYC;ACTR5;JADE1;MSL3;ZZZ3;TADA2A;RUVBL2;MIER1;MTF2;TADA3;PCGF1;KAT7;KAT14;EZH2;BPTF,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Tubulin Deacetylation (GO:0090043),4/17,0.003029734136236481,22.297511312217196,212.2934832834643,TADA2A;ZZZ3;TADA3;KAT14,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of DNA Repair (GO:0006282),9/129,0.0031130287091296767,5.5067415730337075,52.15048340140718,PBRM1;PPP4R2;RUVBL2;ACTR5;TADA3;UIMC1;KAT7;ARID1B;TAF2,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Transcription Elongation By RNA Polymerase II (GO:0034243),7/77,0.0035963424279877292,7.306319702602231,67.81064344089367,MED22;MED14;MED20;CDK12;MED15;CDC73;MED7,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Protein Deacetylation (GO:0090311),4/18,0.0035963424279877292,20.70378151260504,192.1417413786655,TADA2A;ZZZ3;TADA3;KAT14,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000045),8/106,0.004207856611261682,5.978068839476089,54.409389824904075,DLG1;PBRM1;CENPJ;JADE1;AMBRA1;ARID1B;CDC73;EIF4G1,276
